locality,area,rent,price_per_sqft,facing,BHK,bathrooms,parking
BTM Layout,565.0,20060.0,6195.0,North-West,1,1,Bike
BTM Layout,1837.0,97434.0,9254.0,East,3,3,Bike and Car
BTM Layout,1280.0,54448.0,7422.0,East,2,2,Car
BTM Layout,2220.0,117000.0,9234.0,North,3,3,Bike and Car
BTM Layout,1113.0,34388.0,5391.0,East,2,2,Bike and Car
BTM Layout,1332.0,36394.0,4767.0,West,2,2,Bike and Car
BTM Layout,1815.0,112000.00000000001,10744.0,North-East,3,2,Car
BTM Layout,1400.0,41266.0,5143.0,South-East,2,2,Bike and Car
BTM Layout,3006.0,129000.0,7485.0,East,4,5,Bike and Car
BTM Layout,1600.0,92849.0,10125.0,South,3,2,Bike and Car
BTM Layout,1200.0,42985.0,6250.0,West,2,2,Bike and Car
BTM Layout,1000.0,34388.0,6000.0,West,2,2,Bike and Car
BTM Layout,1200.0,40120.0,5833.0,North,2,2,Bike and Car
BTM Layout,4650.0,229000.0,8602.0,East,4,13,Bike
BTM Layout,1060.0,31522.0,5189.0,North,3,2,Bike and Car
BTM Layout,1325.0,71643.0,9434.0,East,3,2,Bike and Car
BTM Layout,1025.0,32096.0,5463.0,North,2,2,Bike and Car
BTM Layout,2200.0,71643.0,5682.0,East,3,3,Bike and Car
BTM Layout,920.0,22925.0,4348.0,North,2,2,Bike and Car
BTM Layout,1030.0,27510.0,4660.0,North,2,2,Bike and Car
BTM Layout,1020.0,33242.0,5686.0,West,2,2,Car
BTM Layout,1650.0,42985.0,4545.0,East,3,2,Car
BTM Layout,1100.0,51583.0,8182.0,West,2,2,Bike and Car
BTM Layout,1185.0,40120.0,5907.0,North,3,2,Bike and Car
BTM Layout,2220.0,117000.0,9234.0,North,3,3,Bike and Car
Attibele,765.0,18340.0,4183.0,East,1,1,Bike and Car
Attibele,656.0,13182.0,3506.0,North-East,2,2,Bike and Car
Attibele,837.0,18913.0,3943.0,East,2,2,Car
Attibele,1347.0,21091.0,2732.0,North,3,2,Bike and Car
Attibele,691.0,20060.0,5065.0,East,2,1,Bike and Car
